Тип модели;Тип зашумления;Фильтр;Размер ячейки;Параметры;Ср. значение высоты (исх.);Ср. значение уклона (исх.);Ср. значение hcurv (исх.);Ср. значение vcurv (исх.);Ср. значения высоты (шум.);Ср. значение уклона (шум.);Ср. значение hcurv (шум.);Ср. значение vcurv (шум.);Ср. значения высоты (фил.);Ср. значения уклона (фил.);Ср. значения hcurv (фил.);Ср. значения vcurv (фил.);Метрика по высоте;Метрика по уклону;Метрика по гор. кривизне;Метрика по верт. кривизне
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.1;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.2;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.7495590706531265;0.0005668466;-1.8185891e-07;1.4317115e-13;199.82049113564398;1.9460381;0.9906895;1.0970747
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.2;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.3;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.754339562562821;0.0005691359;-1.2337098e-07;6.5607445e-14;192.328388270133;1.8743695;0.9917516;0.67270786
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.3;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.4;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.753616282700593;0.00057186774;-2.5956695e-07;2.9586668e-13;193.46193001243319;1.7888465;0.9892783;1.932503
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.4;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.5;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.752917195074622;0.0005735664;-2.5327105e-07;2.913528e-13;194.55755709531877;1.7356682;0.98939264;1.9078068
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.5;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.6;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.7515990063134;0.0005749699;-1.3089758e-07;3.7885405e-14;196.62345449286667;1.6917304;0.99161494;0.52103496
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.6;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.7;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.7516404334171805;0.0005764234;-1.2165766e-07;-8.727405e-14;196.55852893106146;1.6462274;0.9917827;0.16373795
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.7;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.8;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.750167561500181;0.00057844433;1.1045866e-07;-2.510325e-14;198.86684952198337;1.582961;0.995998;0.17641118
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.8;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.9;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.75178745317622;0.00057910243;3.4654227e-07;-3.015478e-13;196.32811599892042;1.5623589;1.0002853;1.3360733
hemicylinder;_n_05;EdgePreservingMeanFilter;3;1.9;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;2.0;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.750683495401896;0.0005800164;1.6181667e-07;-2.1390382e-13;198.05826539790712;1.5337461;0.99693066;0.8565552
hemicylinder;_n_05;EdgePreservingMeanFilter;3;2.0;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;FPDEMS;3;[5, 2, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.793126;0.00048501426;-2.9353407e-07;1.0223334e-13;131.54117626708927;4.507864;0.98866147;0.87309563
hemicylinder;_n_05;FPDEMS;3;[5, 3, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.780332;0.00046126937;-4.1147695e-07;6.1001246e-14;151.59227125264258;5.251217;0.98651963;0.6475064
hemicylinder;_n_05;FPDEMS;3;[5, 4, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.7763004;0.00044721755;-3.164164e-07;-6.1627965e-13;157.91078372339854;5.6911197;0.9882459;3.0580354
hemicylinder;_n_05;FPDEMS;3;[5, 5, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.7946186;0.00044779087;-6.5370315e-08;-3.698025e-12;129.20209359015655;5.673172;0.99280494;19.918892
hemicylinder;_n_05;FPDEMS;3;[5, 6, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.8507347;0.00046795065;2.7065707e-07;-9.187665e-12;41.25557418052382;5.0420537;0.99890715;49.95384
hemicylinder;_n_05;FPDEMS;3;[5, 7, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.9001474;0.00047254568;3.5892262e-07;-9.057521e-12;36.185250573415544;4.8982024;1.0005101;49.24179
hemicylinder;_n_05;FPDEMS;3;[5, 8, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.9410157;0.00046983865;2.3734718e-07;-8.1768325e-12;100.23501382960494;4.9829483;0.9983022;44.423363
hemicylinder;_n_05;FPDEMS;3;[5, 9, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.957754;0.0004562101;-2.9996656e-08;-5.112122e-12;126.46786341694337;5.4096007;0.9934473;27.655704
hemicylinder;_n_05;FPDEMS;3;[5, 10, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.9958816;0.00045881642;-2.8106317e-08;-7.072242e-12;186.22208442808187;5.328008;0.99348164;38.379925
hemicylinder;_n_05;FPDEMS;3;[5, 11, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.040358;0.00046374075;-6.114297e-08;-8.1020425e-12;255.926748200677;5.173848;0.9928817;44.01417
hemicylinder;_n_05;FPDEMS;3;[5, 12, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.0789394;0.00046284258;-1.8670713e-07;-7.8603495e-12;316.39240905476754;5.201966;0.9906014;42.691822
hemicylinder;_n_05;FPDEMS;3;[5, 13, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.121605;0.00046356613;-4.300463e-07;-7.834675e-12;383.2587865631484;5.1793146;0.98618245;42.55135
hemicylinder;_n_05;FPDEMS;3;[5, 14, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.155808;0.00046209997;-6.5582805e-07;-7.556821e-12;436.86264002439674;5.2252145;0.9820822;41.03115
hemicylinder;_n_05;FPDEMS;3;[5, 15, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.189422;0.0004597405;-9.413204e-07;-6.681477e-12;489.5435646977818;5.2990794;0.9768977;36.241966
hemicylinder;_n_05;FPDEMS;3;[5, 16, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.22569;0.0004585242;-9.2799854e-07;-6.976494e-12;546.3832737472469;5.337156;0.97713965;37.856064
hemicylinder;_n_05;FPDEMS;3;[5, 17, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.260563;0.00045721603;-8.2271777e-07;-7.0509484e-12;601.0370988254571;5.3781095;0.97905153;38.26342
hemicylinder;_n_05;FPDEMS;3;[5, 18, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.3008027;0.00046006395;-9.313415e-07;-8.024263e-12;664.1019065007528;5.2889533;0.9770789;43.588623
hemicylinder;_n_05;FPDEMS;3;[5, 19, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.3175535;0.00044829203;-8.282337e-07;-5.5817655e-12;690.3541861678357;5.6574826;0.97895133;30.225222
hemicylinder;_n_05;FPDEMS;3;[5, 20, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.377097;0.00046394908;-5.815316e-07;-9.060841e-12;783.6723753160603;5.1673265;0.98343146;49.259953
hemicylinder;_n_05;FPDEMS;3;[5, 21, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.41026;0.00045771163;-4.5565346e-07;-7.1420096e-12;835.6463440110497;5.3625946;0.98571736;38.761635
hemicylinder;_n_05;FPDEMS;3;[5, 22, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.4388876;0.0004533404;-3.952664e-07;-6.3026854e-12;880.5118927625938;5.499439;0.986814;34.169518
hemicylinder;_n_05;FPDEMS;3;[5, 23, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.464499;0.00044952528;-3.6200365e-07;-6.248564e-12;920.6507009609111;5.618875;0.98741806;33.873413
hemicylinder;_n_05;FPDEMS;3;[5, 24, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.5028;0.00045155737;-2.5123208e-07;-7.024419e-12;980.6769430884724;5.5552588;0.9894297;38.11827
hemicylinder;_n_05;FPDEMS;3;[5, 25, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.5364604;0.00045094528;-1.9334804e-07;-7.1107113e-12;1033.4303569055196;5.57442;0.99048084;38.590397
hemicylinder;_n_05;FPDEMS;3;[5, 26, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.588949;0.0004621104;-6.761836e-08;-9.399809e-12;1115.6920833683705;5.224888;0.9927641;51.11452
hemicylinder;_n_05;FPDEMS;3;[5, 27, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.6154284;0.00045317196;-2.4954913e-08;-6.7041737e-12;1157.1909971488021;5.5047126;0.9935388;36.366146
hemicylinder;_n_05;FPDEMS;3;[5, 28, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.65148;0.000451672;-2.537744e-07;-6.124556e-12;1213.6921744242575;5.5516696;0.9893835;33.19494
hemicylinder;_n_05;FPDEMS;3;[5, 29, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.687484;0.00045413972;-1.4204838e-07;-7.4594445e-12;1270.1178733130132;5.474416;0.99141246;40.49839
hemicylinder;_n_05;FPDEMS;3;[5, 30, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.7174616;0.0004503698;-1.8662966e-07;-6.3091546e-12;1317.0998061351877;5.5924363;0.9906029;34.204914
hemicylinder;_n_05;FPDEMS;3;[5, 31, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.744907;0.00044565866;-1.0820168e-07;-5.9684766e-12;1360.1127715141706;5.739922;0.9920271;32.340996
hemicylinder;_n_05;FPDEMS;3;[5, 32, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.7822695;0.0004481011;2.7630231e-09;-7.2040386e-12;1418.6683060672262;5.66346;0.99404216;39.10101
hemicylinder;_n_05;FPDEMS;3;[5, 33, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.824868;0.00045242347;-8.828561e-08;-7.73203e-12;1485.4300600692904;5.528145;0.9923888;41.98976
hemicylinder;_n_05;FPDEMS;3;[5, 34, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.840573;0.0004423589;1.7075789e-07;-5.6495494e-12;1510.0427399302423;5.843224;0.997093;30.59608
hemicylinder;_n_05;FPDEMS;3;[5, 35, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.8818064;0.00044985794;-1.6025727e-07;-7.5141135e-12;1574.6649432281347;5.6084604;0.9910818;40.797493
hemicylinder;_n_05;FPDEMS;3;[5, 36, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.9150968;0.00044603998;-1.3868403e-07;-6.5093083e-12;1626.838443895885;5.727985;0.99147356;35.299995
hemicylinder;_n_05;FPDEMS;3;[5, 37, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.940722;0.00044125126;-1.5757642e-07;-5.7426537e-12;1666.998924106225;5.877899;0.9911305;31.105473
hemicylinder;_n_05;FPDEMS;3;[5, 38, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;7.9837165;0.0004492803;-6.3645004e-08;-8.242871e-12;1734.3809460385944;5.6265435;0.9928362;44.784676
hemicylinder;_n_05;FPDEMS;3;[5, 39, 10];6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;8.004277;0.00043775182;-1.641804e-07;-5.2197487e-12;1766.6042386733106;5.9874525;0.99101055;28.244553
hemicylinder;_n_05;MeanFilter;5;-;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.665917361679148;0.0004680283;-3.0953169e-07;1.2541029e-13;330.90580606094875;5.039623;0.98837095;0.9999015
hemicylinder;_n_05;MedianFilter;5;;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.4318715846994525;0.0004660255;-4.055521e-07;-5.7902535e-14;697.7080242206218;5.1023226;0.9866273;0.0030403908
hemicylinder;_n_05;ConservativeSmoothingFilter;5;-;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.853947461057899;0.000643584;1.5179816e-07;-1.4224056e-12;36.220473888119315;0.45628816;0.9967487;7.468515
